,Date,Open,High,Low,Close
118,2017-10-04,153.63,153.86,152.46,153.4508
119,2017-10-03,154.01,155.09,153.91,154.48
120,2017-10-02,154.26,154.45,152.72,153.81
121,2017-09-29,153.21,154.13,152.0,154.12
122,2017-09-28,153.89,154.28,152.7,153.28
123,2017-09-27,153.8,154.7189,153.54,154.23
124,2017-09-26,151.78,153.92,151.69,153.14
125,2017-09-25,149.99,151.83,149.16,150.55
126,2017-09-22,152.02,152.27,150.56,151.89
127,2017-09-21,155.8,155.8,152.75,153.39
128,2017-09-20,157.9,158.26,153.83,156.07
129,2017-09-19,159.51,159.77,158.44,158.73
130,2017-09-18,160.11,160.5,157.995,158.67
131,2017-09-15,158.47,160.97,158.0,159.88
132,2017-09-14,158.99,159.4,158.09,158.28
133,2017-09-13,159.87,159.96,157.91,159.65
134,2017-09-12,162.61,163.96,158.77,160.82
135,2017-09-11,160.5,162.05,159.89,161.5
136,2017-09-08,160.86,161.15,158.53,158.63
137,2017-09-07,162.09,162.24,160.36,161.26
138,2017-09-06,162.71,162.99,160.52,161.91
139,2017-09-05,163.75,164.25,160.56,162.08
140,2017-09-01,164.8,164.94,163.63,164.05
141,2017-08-31,163.64,164.52,163.48,164.0
142,2017-08-30,163.8,163.89,162.61,163.35
143,2017-08-29,160.1,163.12,160.0,162.91
144,2017-08-28,160.14,162.0,159.93,161.47
145,2017-08-25,159.65,160.56,159.27,159.86
146,2017-08-24,160.43,160.74,158.55,159.27
147,2017-08-23,159.07,160.47,158.88,159.98
148,2017-08-22,158.23,160.0,158.02,159.78
149,2017-08-21,157.5,157.89,155.1101,157.21
150,2017-08-18,157.86,159.5,156.72,157.5
151,2017-08-17,160.52,160.71,157.84,157.87
152,2017-08-16,161.94,162.51,160.15,160.95
153,2017-08-15,160.66,162.195,160.14,161.6
154,2017-08-14,159.32,160.21,158.75,159.85
155,2017-08-11,156.6,158.5728,156.07,157.48
156,2017-08-10,159.9,160.0,154.63,155.27
157,2017-08-09,159.26,161.27,159.11,161.06
158,2017-08-08,158.6,161.83,158.27,160.08
159,2017-08-04,156.07,157.4,155.69,156.39
160,2017-08-03,157.05,157.21,155.02,155.57
161,2017-08-02,159.28,159.75,156.16,157.14
162,2017-08-01,149.1,150.22,148.41,150.05
163,2017-07-31,149.9,150.33,148.13,148.85
164,2017-07-28,149.89,150.23,149.19,149.5
165,2017-07-27,153.75,153.99,147.3,150.56
166,2017-07-26,153.35,153.93,153.06,153.46
167,2017-07-25,151.8,153.84,151.8,152.74
168,2017-07-24,150.58,152.44,149.9,152.09
169,2017-07-21,149.99,150.44,148.88,150.27
170,2017-07-20,151.5,151.74,150.19,150.34
171,2017-07-19,150.48,151.42,149.95,151.02
172,2017-07-18,149.2,150.13,148.67,150.08
173,2017-07-17,148.82,150.9,148.57,149.56
174,2017-07-14,147.97,149.33,147.33,149.04
175,2017-07-13,145.5,148.49,145.44,147.77
176,2017-07-12,145.87,146.18,144.82,145.74
177,2017-07-11,144.73,145.85,144.38,145.53
178,2017-07-10,144.11,145.95,143.37,145.06
179,2017-07-07,142.9,144.75,142.9,144.18
180,2017-07-06,143.02,143.5,142.41,142.73
181,2017-07-05,143.69,144.79,142.7237,144.09
182,2017-07-03,144.88,145.3001,143.1,143.5
183,2017-06-30,144.45,144.96,143.78,144.02
184,2017-06-29,144.71,145.13,142.28,143.68
185,2017-06-28,144.49,146.11,143.1601,145.83
186,2017-06-27,145.01,146.16,143.62,143.74
187,2017-06-26,147.17,148.28,145.38,145.82
188,2017-06-23,145.13,147.16,145.11,146.35
189,2017-06-22,145.77,146.7,145.1199,145.63
190,2017-06-21,145.52,146.0693,144.61,145.87
191,2017-06-20,146.87,146.87,144.94,145.01
192,2017-06-19,143.66,146.74,143.66,146.34
193,2017-06-16,143.78,144.5,142.2,142.27
194,2017-06-15,143.32,144.4798,142.21,144.29
195,2017-06-14,147.5,147.5,143.84,145.16
196,2017-06-13,147.16,147.45,145.15,146.59
197,2017-06-12,145.74,146.09,142.51,145.32
198,2017-06-09,155.19,155.19,146.02,148.98
199,2017-06-08,155.25,155.54,154.4,154.99
200,2017-06-07,155.02,155.98,154.48,155.37
201,2017-06-06,153.9,155.81,153.78,154.45
202,2017-06-05,154.34,154.45,153.46,153.93
203,2017-06-02,153.58,155.45,152.89,155.45
204,2017-06-01,153.17,153.33,152.22,153.18
205,2017-05-31,153.97,154.17,152.38,152.76
206,2017-05-30,153.42,154.43,153.33,153.67
207,2017-05-26,154.0,154.24,153.31,153.61
208,2017-05-25,153.73,154.35,153.03,153.87
209,2017-05-24,153.84,154.17,152.67,153.34
210,2017-05-23,154.9,154.9,153.31,153.8
211,2017-05-22,154.0,154.58,152.91,153.99
212,2017-05-19,153.38,153.98,152.63,152.96
213,2017-05-18,151.27,153.34,151.13,152.54
214,2017-05-17,153.6,154.57,149.71,150.25
215,2017-05-16,155.94,156.06,154.72,155.47
216,2017-05-15,156.01,156.65,155.05,155.7
217,2017-05-12,154.7,156.42,154.67,156.1
218,2017-05-11,152.45,154.07,152.31,153.95
219,2017-05-10,153.63,153.94,152.11,153.26
220,2017-05-09,153.87,154.88,153.45,153.96
221,2017-05-08,149.03,153.7,149.03,153.0
222,2017-05-05,146.76,148.98,146.76,148.96
223,2017-05-04,146.52,147.14,145.81,146.53
224,2017-05-03,145.59,147.49,144.27,147.06
225,2017-05-02,147.54,148.09,146.84,147.51
226,2017-05-01,145.1,147.2,144.96,146.6
227,2017-04-28,144.09,144.3,143.27,143.65
228,2017-04-27,143.9225,144.16,143.31,143.79
229,2017-04-26,144.47,144.6,143.3762,143.6508
230,2017-04-25,143.91,144.9,143.87,144.54
231,2017-04-24,143.5,143.95,143.18,143.64
232,2017-04-21,142.44,142.68,141.85,142.27
233,2017-04-20,141.22,142.92,141.16,142.44
234,2017-04-19,141.88,142.0,140.45,140.68
235,2017-04-18,141.41,142.04,141.11,141.2
236,2017-04-17,141.48,141.88,140.87,141.83
237,2017-04-13,141.91,142.38,141.05,141.05
238,2017-04-12,141.6,142.15,141.01,141.8
239,2017-04-11,142.94,143.35,140.06,141.63
240,2017-04-10,143.6,143.8792,142.9,143.17
241,2017-04-07,143.73,144.18,143.27,143.34
242,2017-04-06,144.29,144.52,143.45,143.66
243,2017-04-05,144.22,145.46,143.81,144.02
244,2017-04-04,143.25,144.89,143.17,144.77
245,2017-04-03,143.71,144.12,143.05,143.7
246,2017-03-31,143.72,144.27,143.01,143.66
247,2017-03-30,144.19,144.5,143.5,143.93
248,2017-03-29,143.68,144.49,143.19,144.12
249,2017-03-28,140.91,144.04,140.62,143.8
250,2017-03-27,139.39,141.22,138.62,140.88
251,2017-03-24,141.5,141.74,140.35,140.64
252,2017-03-23,141.26,141.5844,140.61,140.92
253,2017-03-22,139.845,141.6,139.76,141.42
254,2017-03-21,142.11,142.8,139.73,139.84
255,2017-03-20,140.4,141.5,140.23,141.46
256,2017-03-17,141.0,141.0,139.89,139.99
257,2017-03-16,140.72,141.02,140.26,140.69
258,2017-03-15,139.41,140.7501,139.025,140.46
259,2017-03-14,139.3,139.65,138.84,138.99
260,2017-03-13,138.85,139.43,138.82,139.2
261,2017-03-10,139.25,139.3571,138.64,139.14
262,2017-03-09,138.74,138.79,137.05,138.68
263,2017-03-08,138.95,139.8,138.82,139.0
264,2017-03-07,139.06,139.98,138.79,139.52
265,2017-03-06,139.365,139.77,138.5959,139.34
266,2017-03-03,138.78,139.83,138.59,139.78
267,2017-03-02,140.0,140.2786,138.76,138.96
268,2017-03-01,137.89,140.15,137.595,139.79
269,2017-02-28,137.08,137.435,136.7,136.99
270,2017-02-27,137.14,137.435,136.28,136.93
271,2017-02-24,135.91,136.66,135.28,136.66
272,2017-02-23,137.38,137.48,136.3,136.53
273,2017-02-22,136.43,137.12,136.11,137.11
274,2017-02-21,136.23,136.75,135.98,136.7
275,2017-02-17,135.1,135.83,135.1,135.72
276,2017-02-16,135.67,135.9,134.8398,135.345
277,2017-02-15,135.52,136.27,134.62,135.51
278,2017-02-14,133.47,135.09,133.25,135.02
279,2017-02-13,133.08,133.82,132.75,133.29
280,2017-02-10,132.46,132.94,132.05,132.12
281,2017-02-09,131.65,132.445,131.12,132.42
282,2017-02-08,131.35,132.22,131.22,132.04
283,2017-02-07,130.54,132.09,130.45,131.53
284,2017-02-06,129.13,130.5,128.9,130.29
